#,Name,Year,Age Rating,Duration,Genre,Rating,Description,Director(s),Stars,Release Date
52,Shameless,(2011–2021),,46 min,"Comedy, Drama            ",8.5,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",,"Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White","Season 11 DVD/Blu-Ray Release Date: Tuesday, July 20"
53,Initiation,(II) (2020),R,96 min,"Crime, Horror, Mystery            ",5,"Whiton University unravels the night a star-athlete is murdered, kicking off a spree of social media slayings that force students to uncover the truth behind the school's hidden secrets and the horrifying meaning of an exclamation point.",John Berardo,"Isabella Gomez, Lindsay LaVanchy, Froy Gutierrez, James Berardo","DVD/Blu-Ray Release Date: Tuesday, July 20"
54,Star Trek: Discovery,(2017– ),,60 min,"Action, Adventure, Drama            ",7.2,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",,"Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman","Season 3 DVD/Blu-Ray Release Date: Tuesday, July 20"
55,The Spanish Princess,(2019–2020),,55 min,"Drama, History, Romance            ",6.9,"The beautiful Spanish princess, Catherine of Aragon, navigates the royal lineage of England with an eye on the throne.",,"Laura Carmichael, Aaron Cobham, Charlotte Hope, Stephanie Levi-John","Part 2 DVD/Blu-Ray Release Date: Tuesday, July 20"
56,The Walking Dead,(2010–2022),,44 min,"Drama, Horror, Thriller            ",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan","Season 10 DVD/Blu-Ray Release Date: Tuesday, July 20"
57,A Quiet Place Part II,(2020),PG-13,97 min,"Drama, Horror, Sci-Fi            ",7.7,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",John Krasinski,"Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski","DVD/Blu-Ray Release Date: Tuesday, July 27"
58,American Gods,(2017–2021),,60 min,"Drama, Fantasy, Mystery            ",7.7,"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past.",,"Ricky Whittle, Emily Browning, Yetide Badaki, Bruce Langley","Season 3 DVD/Blu-Ray Release Date: Tuesday, July 27"
59,You Belong to Me,(2021),R,105 min,"Drama, Mystery, Thriller            ",5.2,"A psychiatrist, whose client commits suicide, finds his family life disrupted after introducing her surviving brother to his wife and daughter.",Vaughn Stein,"Casey Affleck, Michelle Monaghan, Sam Claflin, Veronica Ferres","DVD/Blu-Ray Release Date: Tuesday, July 27"
60,Âya to majo,(2020 TV Movie),PG,82 min,"Animation, Adventure, Family            ",4.7,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.",Gorô Miyazaki,"Jazmín Abuín, JB Blanc, Thomas Bromhead, Alex Cartañá","DVD/Blu-Ray Release Date: Tuesday, July 27"
61,Keeping Faith,(2017–2021),,60 min,"Drama, Mystery, Thriller            ",7.1,"Faith, a small-town Welsh lawyer, is forced to cut short her extended maternity leave when her husband and business partner, Evan, goes missing. As the truth of his actions surface, Faith must fight to protect her family and her sanity.",,"Eve Myles, Bradley Freegard, Mark Lewis Jones, Hannah Daniel","Series 3 DVD/Blu-Ray Release Date: Tuesday, July 27"
62,Midnight in the Switchgrass,(2021),R,99 min,Thriller            ,,An FBI agent and Florida State officer team up to investigate a string of unsolved murder cases.,Randall Emmett,"Megan Fox, Bruce Willis, Emile Hirsch, Machine Gun Kelly","VOD Release Date: Friday, July 2"
63,The God Committee,(2021),,98 min,Thriller            ,8,"An organ transplant committee has one hour to decide which of three patients deserves a life-saving heart. Seven years later, the committee members struggle with the consequences of that fateful decision.",Austin Stark,"Julia Stiles, Janeane Garofalo, Kelsey Grammer, Dan Hedaya","DVD/Blu-Ray Release Date: Tuesday, July 27"
64,Unforgotten,(2015– ),,45 min,"Crime, Drama, Mystery            ",8.3,"London detectives investigate crimes from the past, unravelling secrets left buried for years.",,"Sanjeev Bhaskar, Jordan Long, Lewis Reeves, Nicola Walker","Season 4 DVD/Blu-Ray Release Date: Tuesday, July 27"
65,"Batman: The Long Halloween, Part Two",(2021 Video),R,,"Animation, Action, Crime            ",,The killer known as Holiday continues to stalk the Falcone crime family while a new class of costumed criminal rises in Gotham City. Batman suspects that a former ally might be the serial killer.,Chris Palmer,"Jensen Ackles, Troy Baker, Laila Berzins, Billy Burke","VOD Release Date: Friday, July 27"
